,doc_id,speciality
350,19469,Anesthesiology
351,19470,Anesthesiology
352,19471,Anesthesiology
353,19472,Anesthesiology
354,19473,Anesthesiology
355,19475,Anesthesiology
356,19477,Anesthesiology
357,19478,Anesthesiology
358,19479,Anesthesiology
359,19480,Anesthesiology
360,19481,Anesthesiology
361,19482,Anesthesiology
362,19483,Anesthesiology
363,19484,Anesthesiology
364,19486,Anesthesiology
365,19487,Anesthesiology
366,19488,Anesthesiology
367,19489,Anesthesiology
368,19490,Anesthesiology
369,19491,Anesthesiology
370,19492,Anesthesiology
371,19493,Anesthesiology
372,19494,Anesthesiology
373,19495,Anesthesiology
374,19496,Anesthesiology
375,19497,Anesthesiology
376,19498,Anesthesiology
377,19499,Anesthesiology
378,19500,Anesthesiology
379,19501,Anesthesiology
380,19502,Anesthesiology
381,19504,Anesthesiology
382,19505,Anesthesiology
383,19506,Anesthesiology
384,19507,Anesthesiology
385,19508,Anesthesiology
386,19509,Anesthesiology
387,19510,Anesthesiology
388,19511,Anesthesiology
389,19512,Anesthesiology
390,19513,Anesthesiology
391,19515,Anesthesiology
392,19517,Anesthesiology
393,19518,Anesthesiology
394,19519,Anesthesiology
395,19521,Anesthesiology
396,19522,Anesthesiology
397,19525,Anesthesiology
398,19526,Anesthesiology
399,19527,Anesthesiology
400,19529,Anesthesiology
401,19530,Anesthesiology
402,19532,Anesthesiology
403,19533,Anesthesiology
404,19534,Anesthesiology
405,19535,Anesthesiology
406,19536,Anesthesiology
407,19537,Anesthesiology
408,19538,Anesthesiology
409,19539,Anesthesiology
410,19540,Anesthesiology
411,19542,Anesthesiology
412,19543,Anesthesiology
413,19544,Anesthesiology
414,19545,Anesthesiology
415,19546,Anesthesiology
416,19547,Anesthesiology
417,19550,Anesthesiology
418,19551,Anesthesiology
419,19552,Anesthesiology
420,19555,Anesthesiology
421,19557,Anesthesiology
422,19559,Anesthesiology
423,19560,Anesthesiology
424,19561,Anesthesiology
425,19562,Anesthesiology
426,19564,Anesthesiology
427,19565,Anesthesiology
428,19566,Anesthesiology
429,19567,Anesthesiology
430,19568,Anesthesiology
431,19569,Anesthesiology
432,19570,Anesthesiology
433,19571,Anesthesiology
434,19572,Anesthesiology
435,19573,Anesthesiology
436,19574,Anesthesiology
437,19575,Anesthesiology
438,19576,Anesthesiology
439,19577,Anesthesiology
440,19578,Anesthesiology
441,19579,Anesthesiology
442,19580,Anesthesiology
443,19582,Anesthesiology
444,19583,Anesthesiology
445,19584,Anesthesiology
446,19586,Anesthesiology
447,19585,Anesthesiology
448,19589,Anesthesiology
449,19587,Anesthesiology
450,19588,Anesthesiology
451,19590,Anesthesiology
452,19591,Anesthesiology
453,19581,Anesthesiology
454,19592,Anesthesiology
455,19593,Anesthesiology
456,19594,Anesthesiology
457,19595,Anesthesiology
458,19597,Anesthesiology
459,19596,Anesthesiology
460,19598,Anesthesiology
461,19600,Anesthesiology
462,19601,Anesthesiology
463,19602,Anesthesiology
464,19603,Anesthesiology
465,19607,Anesthesiology
466,19604,Anesthesiology
467,19608,Anesthesiology
468,19605,Anesthesiology
469,19610,Anesthesiology
470,19606,Anesthesiology
471,19611,Anesthesiology
472,19612,Anesthesiology
473,19614,Anesthesiology
474,19615,Anesthesiology
475,19616,Anesthesiology
476,19613,Anesthesiology
477,19617,Anesthesiology
478,19618,Anesthesiology
479,19621,Anesthesiology
480,19622,Anesthesiology
481,19620,Anesthesiology
482,19619,Anesthesiology
483,19624,Anesthesiology
484,19623,Anesthesiology
485,19625,Anesthesiology
486,19628,Anesthesiology
487,19629,Anesthesiology
488,19627,Anesthesiology
489,19631,Anesthesiology
490,19630,Anesthesiology
491,19632,Anesthesiology
492,19636,Anesthesiology
493,19635,Anesthesiology
494,19637,Anesthesiology
495,19626,Anesthesiology
496,19633,Anesthesiology
497,19638,Anesthesiology
498,19634,Anesthesiology
499,19639,Anesthesiology
500,19643,Anesthesiology
501,19640,Anesthesiology
502,19641,Anesthesiology
503,19642,Anesthesiology
504,19645,Anesthesiology
505,19646,Anesthesiology
506,19649,Anesthesiology
507,19648,Anesthesiology
508,19653,Anesthesiology
509,19647,Anesthesiology
510,19650,Anesthesiology
511,19651,Anesthesiology
512,19657,Anesthesiology
513,19656,Anesthesiology
514,19655,Anesthesiology
515,19654,Anesthesiology
516,19660,Anesthesiology
517,19659,Anesthesiology
518,19662,Anesthesiology
519,19658,Anesthesiology
520,19661,Anesthesiology
521,19665,Anesthesiology
522,19664,Anesthesiology
523,19667,Anesthesiology
524,19666,Anesthesiology
525,19668,Anesthesiology
526,19669,Anesthesiology
527,19609,Anesthesiology
528,19670,Anesthesiology
529,19671,Anesthesiology
530,19673,Anesthesiology
531,19674,Anesthesiology
532,19663,Anesthesiology
533,19675,Anesthesiology
534,19677,Anesthesiology
535,19678,Anesthesiology
536,19676,Anesthesiology
537,19680,Anesthesiology
538,19681,Anesthesiology
539,19682,Anesthesiology
540,19685,Anesthesiology
541,19687,Anesthesiology
542,19683,Anesthesiology
543,19688,Anesthesiology
544,19686,Anesthesiology
545,19690,Anesthesiology
546,19691,Anesthesiology
547,19689,Anesthesiology
548,19692,Anesthesiology
549,19694,Anesthesiology
550,19693,Anesthesiology
551,19679,Anesthesiology
552,19684,Anesthesiology
553,19695,Anesthesiology
554,19696,Anesthesiology
555,19697,Anesthesiology
556,19699,Anesthesiology
557,19700,Anesthesiology
558,19698,Anesthesiology
559,19703,Anesthesiology
560,19702,Anesthesiology
561,19705,Anesthesiology
562,19707,Anesthesiology
563,19706,Anesthesiology
564,19708,Anesthesiology
565,19709,Anesthesiology
566,19710,Anesthesiology
567,19711,Anesthesiology
568,19713,Anesthesiology
569,19712,Anesthesiology
570,19716,Anesthesiology
571,19717,Anesthesiology
572,19704,Anesthesiology
573,19715,Anesthesiology
574,19714,Anesthesiology
575,19719,Anesthesiology
576,19718,Anesthesiology
577,19722,Anesthesiology
578,19720,Anesthesiology
579,19721,Anesthesiology
580,19723,Anesthesiology
581,19727,Anesthesiology
582,19725,Anesthesiology
583,19724,Anesthesiology
584,19730,Anesthesiology
585,19728,Anesthesiology
586,19731,Anesthesiology
587,19726,Anesthesiology
588,19735,Anesthesiology
589,19733,Anesthesiology
590,19734,Anesthesiology
591,19732,Anesthesiology
592,19672,Anesthesiology
593,19738,Anesthesiology
594,19737,Anesthesiology
595,19739,Anesthesiology
596,19741,Anesthesiology
597,19742,Anesthesiology
598,19740,Anesthesiology
599,19744,Anesthesiology
600,19746,Anesthesiology
601,19747,Anesthesiology
602,19743,Anesthesiology
603,19745,Anesthesiology
604,19749,Anesthesiology
605,19751,Anesthesiology
606,19752,Anesthesiology
607,19750,Anesthesiology
608,19748,Anesthesiology
609,19753,Anesthesiology
610,19755,Anesthesiology
611,19756,Anesthesiology
612,19757,Anesthesiology
613,19759,Anesthesiology
614,19758,Anesthesiology
615,19760,Anesthesiology
616,19761,Anesthesiology
617,19762,Anesthesiology
618,19765,Anesthesiology
619,19764,Anesthesiology
620,19766,Anesthesiology
621,19767,Anesthesiology
622,19768,Anesthesiology
623,19769,Anesthesiology
624,19770,Anesthesiology
625,19773,Anesthesiology
626,19772,Anesthesiology
627,19774,Anesthesiology
628,19775,Anesthesiology
629,19776,Anesthesiology
630,19771,Anesthesiology
631,19778,Anesthesiology
632,19779,Anesthesiology
633,19780,Anesthesiology
634,19782,Anesthesiology
635,19781,Anesthesiology
636,19783,Anesthesiology
637,19785,Anesthesiology
638,19784,Anesthesiology
639,19786,Anesthesiology
640,19787,Anesthesiology
641,19788,Anesthesiology
642,19790,Anesthesiology
643,19789,Anesthesiology
644,19792,Anesthesiology
645,19794,Anesthesiology
646,19791,Anesthesiology
647,19793,Anesthesiology
648,19796,Anesthesiology
649,19795,Anesthesiology
650,19799,Anesthesiology
651,19797,Anesthesiology
652,19798,Anesthesiology
653,19800,Anesthesiology
654,19801,Anesthesiology
655,19803,Anesthesiology
656,19802,Anesthesiology
657,19804,Anesthesiology
658,19805,Anesthesiology
659,19806,Anesthesiology
660,19807,Anesthesiology
661,19809,Anesthesiology
662,19808,Anesthesiology
663,19810,Anesthesiology
664,19812,Anesthesiology
665,19814,Anesthesiology
666,19815,Anesthesiology
667,19813,Anesthesiology
668,19816,Anesthesiology
669,19817,Anesthesiology
670,19818,Anesthesiology
671,19819,Anesthesiology
672,19820,Anesthesiology
673,19821,Anesthesiology
674,19822,Anesthesiology
675,19824,Anesthesiology
676,19825,Anesthesiology
677,19826,Anesthesiology
678,19827,Anesthesiology
679,19828,Anesthesiology
680,19830,Anesthesiology
681,19831,Anesthesiology
682,19829,Anesthesiology
683,19832,Anesthesiology
684,19833,Anesthesiology
685,19834,Anesthesiology
686,19837,Anesthesiology
687,19839,Anesthesiology
688,19838,Anesthesiology
689,19840,Anesthesiology
690,19836,Anesthesiology
691,19841,Anesthesiology
692,19842,Anesthesiology
693,19844,Anesthesiology
694,19843,Anesthesiology
695,19845,Anesthesiology
696,19847,Anesthesiology
697,19846,Anesthesiology
698,19848,Anesthesiology
699,19850,Anesthesiology
700,19849,Anesthesiology
701,19852,Anesthesiology
702,19853,Anesthesiology
703,19854,Anesthesiology
704,19856,Anesthesiology
705,19857,Anesthesiology
706,19855,Anesthesiology
707,19858,Anesthesiology
708,19859,Anesthesiology
709,19860,Anesthesiology
710,19861,Anesthesiology
711,19862,Anesthesiology
712,19863,Anesthesiology
713,19864,Anesthesiology
714,19865,Anesthesiology
715,19866,Anesthesiology
716,19867,Anesthesiology
717,19868,Anesthesiology
718,19869,Anesthesiology
719,19870,Anesthesiology
720,19872,Anesthesiology
721,19871,Anesthesiology
722,19874,Anesthesiology
723,19875,Anesthesiology
724,19876,Anesthesiology
725,19877,Anesthesiology
726,19878,Anesthesiology
727,19879,Anesthesiology
728,19880,Anesthesiology
729,19882,Anesthesiology
730,19883,Anesthesiology
731,19873,Anesthesiology
732,19885,Anesthesiology
733,19884,Anesthesiology
734,19886,Anesthesiology
735,19881,Anesthesiology
736,19887,Anesthesiology
737,19889,Anesthesiology
738,19890,Anesthesiology
739,19891,Anesthesiology
740,19892,Anesthesiology
741,19893,Anesthesiology
742,19894,Anesthesiology
743,19895,Anesthesiology
744,19896,Anesthesiology
745,19897,Anesthesiology
746,19898,Anesthesiology
747,19899,Anesthesiology
748,19900,Anesthesiology
749,19902,Anesthesiology
750,19903,Anesthesiology
751,19904,Anesthesiology
752,19905,Anesthesiology
753,19901,Anesthesiology
754,19906,Anesthesiology
755,19907,Anesthesiology
756,19908,Anesthesiology
757,19909,Anesthesiology
758,19910,Anesthesiology
759,19911,Anesthesiology
760,19912,Anesthesiology
761,19913,Anesthesiology
762,19914,Anesthesiology
763,19915,Anesthesiology
764,19916,Anesthesiology
765,19917,Anesthesiology
766,19918,Anesthesiology
767,19919,Anesthesiology
768,19920,Anesthesiology
769,19921,Anesthesiology
770,19922,Anesthesiology
771,19923,Anesthesiology
772,19924,Anesthesiology
