,doc_id,feed_id,rate
327,4,5995,1
328,4,6002,1
329,4,6031,1
330,4,6045,1
331,4,6046,1
332,4,6077,1
333,4,6090,1
334,4,6110,1
335,4,6117,1
336,4,6125,1
337,4,6151,1
338,4,6188,1
339,4,6217,1
340,4,6223,1
341,4,6286,1
342,4,6296,1
343,4,6306,1
344,4,6404,1
345,4,6432,1
346,4,6440,1
347,4,6460,1
348,4,6476,1
349,4,6503,1
350,4,6509,1
351,4,6552,1
352,4,6598,1
353,4,6639,1
354,4,6669,1
355,4,6672,1
356,4,6675,1
357,4,6677,1
358,4,6680,1
359,4,6705,1
360,4,6752,1
361,4,6790,1
362,4,6815,1
363,4,6828,2
364,4,6833,1
365,4,6836,1
366,4,6838,1
367,4,6853,1
368,4,6858,1
369,4,6863,1
370,4,6923,1
371,4,6938,1
372,4,6954,1
373,4,6996,1
374,4,7035,1
375,4,7053,1
376,4,7059,1
377,4,7061,1
378,4,7077,1
379,4,7129,1
380,4,7130,2
381,4,7182,1
382,4,7198,1
383,4,7201,1
384,4,7224,1
385,4,7240,1
386,4,7263,1
387,4,7275,1
388,4,7319,2
389,4,7342,1
390,4,7343,1
391,4,7349,1
392,4,7355,1
393,4,7373,2
394,4,7413,1
395,4,7436,1
396,4,7445,1
397,4,7446,2
398,4,7465,1
399,4,7485,1
400,4,7512,1
401,4,7528,1
402,4,7571,1
403,4,7641,1
404,4,7690,1
405,4,7722,1
406,4,7732,1
407,4,7757,1
408,4,7801,1
409,4,7810,1
410,4,7831,1
411,4,7846,1
412,4,7898,1
413,4,7923,1
414,4,7944,2
415,4,7947,1
416,4,8012,1
417,4,8027,1
418,4,8033,1
419,4,8034,1
420,4,8052,1
421,4,8067,1
422,4,8119,1
423,4,8131,1
424,4,8145,1
425,4,8150,1
426,4,8220,1
427,4,8300,1
428,4,8327,1
429,4,8420,1
430,4,8479,1
431,4,8485,1
432,4,8499,2
433,4,8507,2
434,4,8529,1
435,4,8570,1
436,4,8579,1
437,4,8621,1
438,4,8691,1
439,4,8780,1
440,4,8793,1
441,4,8837,1
442,4,8866,1
443,4,8908,1
444,4,8912,1
445,4,8934,1
446,4,8960,1
447,4,8987,1
448,4,9016,1
449,4,9098,1
450,4,9167,1
451,4,9226,1
452,4,9267,1
453,4,9293,1
454,4,9584,1
455,4,9609,1
456,4,9646,1
457,4,9669,1
458,4,9717,1
459,4,9802,1
460,4,9839,1
461,4,9923,1
462,4,9952,1
463,4,10003,1
464,4,10037,1
465,4,10048,1
466,4,10050,1
467,4,10058,1
468,4,10062,1
469,4,10066,1
470,4,10077,1
471,4,10084,1
472,4,10117,1
473,4,10118,1
474,4,10150,1
475,4,10161,1
476,4,10170,1
477,4,10177,1
478,4,10178,1
479,4,10181,1
480,4,10232,1
481,4,10255,1
482,4,10265,1
483,4,10315,1
484,4,10322,1
485,4,10334,1
486,4,10342,1
487,4,10371,1
488,4,10424,1
489,4,10426,1
490,4,10446,1
491,4,10469,1
492,4,10473,1
493,4,10477,1
494,4,10481,1
495,4,10488,1
496,4,10493,1
497,4,10502,1
498,4,10508,1
499,4,10512,1
500,4,10531,1
501,4,10538,1
502,4,10546,1
503,4,10552,1
504,4,10555,1
505,4,10563,1
506,4,10564,1
507,4,10598,1
508,4,10627,1
509,4,10646,1
510,4,10653,1
511,4,10675,1
512,4,10684,1
513,4,10686,1
514,4,10712,2
515,4,10734,1
516,4,10735,1
517,4,10745,1
518,4,10767,1
519,4,10774,1
520,4,10787,1
521,4,10788,1
522,4,10789,1
523,4,10792,1
524,4,10793,1
525,4,10794,1
526,4,10808,1
527,4,10844,1
528,4,10846,1
529,4,10860,1
530,4,10871,1
531,4,10886,1
532,4,10915,1
533,4,10917,1
534,4,10940,1
535,4,10941,1
536,4,10950,1
537,4,10957,1
538,4,10960,1
539,4,10970,1
540,4,10991,1
541,4,11029,1
542,4,11034,1
543,4,11035,1
544,4,11050,1
545,4,11053,1
546,4,11069,1
547,4,11073,1
548,4,11078,1
549,4,11108,1
550,4,11118,1
551,4,11123,2
552,4,11160,1
553,4,11185,1
554,4,11200,1
555,4,11204,1
556,4,11207,1
557,4,11214,1
558,4,11215,1
559,4,11223,1
560,4,11232,1
561,4,11245,1
562,4,11247,1
563,4,11253,1
564,4,11259,1
565,4,11269,1
566,4,11286,1
567,4,11308,1
568,4,11314,1
569,4,11325,1
570,4,11344,1
571,4,11416,1
572,4,11437,1
573,4,11439,1
574,4,11459,1
575,4,11470,1
576,4,11531,1
577,4,11680,1
578,8,7010,1
579,14,8774,1
580,14,8804,1
581,67,4531,1
582,67,5708,1
583,67,7722,1
584,67,9189,1
585,67,9279,1
586,67,9342,1
587,67,9404,1
588,67,9502,1
589,67,9517,1
590,67,9529,1
591,67,9620,1
592,67,9629,1
593,67,9656,1
594,67,9722,1
595,67,9755,1
596,67,9776,1
597,67,9848,1
598,67,10027,1
599,67,10389,1
600,67,10409,1
601,67,10412,1
602,67,10872,1
603,67,10879,1
604,67,11067,1
605,67,11223,1
606,70,974,2
607,70,975,2
608,70,976,2
609,70,977,2
610,70,978,2
611,70,979,2
612,70,4198,1
613,70,4199,1
614,70,4209,1
615,70,4231,1
616,70,4326,1
617,70,4396,1
618,70,4397,1
619,70,4398,1
620,70,4400,1
621,70,4467,1
622,70,4468,1
623,70,4469,1
624,70,4470,1
625,70,4471,1
626,70,4472,1
627,70,4473,1
628,70,4562,1
629,70,4597,1
630,70,4599,1
631,70,4601,1
632,70,4603,1
633,70,4621,1
634,70,4637,1
635,70,4654,1
636,70,4655,1
637,70,4673,1
638,70,4689,1
639,70,4698,1
640,70,4754,1
641,70,4807,1
642,70,4829,1
643,70,4848,1
644,70,4863,1
645,70,4867,1
646,70,4883,1
647,70,4901,1
